course_id,course_code,lecturer_id,level,level_group,semester,slot_id,venue_id,lecturer_qualified,venue_capacity_ok,lecturer_conflict,venue_conflict,level_conflict,weekly_limit
55,CSC306,3,300,8,Second,20,3,1,1,0,0,0,0
54,CSC304,1,300,8,Second,21,1,1,1,0,0,0,0
54,CSC304,1,300,8,Second,22,1,1,1,0,0,0,0
53,CSC302,1,300,8,Second,23,1,1,1,0,0,0,0
53,CSC302,1,300,8,Second,24,1,1,1,0,0,0,0
52,CSC309,3,300,8,First,19,3,1,1,0,0,0,0
52,CSC309,3,300,8,First,20,3,1,1,0,0,0,0
51,CSC307,1,300,8,First,21,1,1,1,0,0,0,0
51,CSC307,1,300,8,First,22,1,1,1,0,0,0,0
49,CSC301,1,300,8,First,23,1,1,1,0,0,0,0
49,CSC301,1,300,8,First,24,1,1,1,0,0,0,0
31,EEE201,4,200,5,First,1,4,1,1,0,0,0,0
31,EEE201,4,200,5,First,2,4,1,1,0,0,0,0
30,CSC204,4,200,4,Second,1,4,1,1,0,0,0,0
30,CSC204,4,200,4,Second,2,4,1,1,0,0,0,0
29,CSC206,4,200,4,Second,3,4,1,1,0,0,0,0
29,CSC206,4,200,4,Second,4,4,1,1,0,0,0,0
28,CSC202,4,200,4,Second,5,4,1,1,0,0,0,0
28,CSC202,4,200,4,Second,6,4,1,1,0,0,0,0
27,CSC207,4,200,4,First,3,4,1,1,0,0,0,0
27,CSC207,4,200,4,First,4,4,1,1,0,0,0,0
26,CSC203,4,200,4,First,5,4,1,1,0,0,0,0
26,CSC203,4,200,4,First,6,4,1,1,0,0,0,0
25,CSC201,4,200,4,First,7,4,1,1,0,0,0,0
25,CSC201,4,200,4,First,8,4,1,1,0,0,0,0
33,EEE203,4,200,5,First,9,4,1,1,0,0,0,0
33,EEE203,4,200,5,First,10,4,1,1,0,0,0,0
32,EEE209,4,200,5,First,11,4,1,1,0,0,0,0
32,EEE209,4,200,5,First,12,4,1,1,0,0,0,0
34,EEE202,4,200,5,Second,7,4,1,1,0,0,0,0
34,EEE202,4,200,5,Second,8,4,1,1,0,0,0,0
36,EEE210,4,200,5,Second,9,4,1,1,0,0,0,0
36,EEE210,4,200,5,Second,10,4,1,1,0,0,0,0
37,MEE201,4,200,6,First,13,4,1,1,0,0,0,0
37,MEE201,4,200,6,First,14,4,1,1,0,0,0,0
38,MEE205,4,200,6,First,15,4,1,1,0,0,0,0
38,MEE205,4,200,6,First,16,4,1,1,0,0,0,0
39,MEE203,4,200,6,First,17,4,1,1,0,0,0,0
39,MEE203,4,200,6,First,18,4,1,1,0,0,0,0
40,MEE202,4,200,6,Second,11,4,1,1,0,0,0,0
40,MEE202,4,200,6,Second,12,4,1,1,0,0,0,0
41,MEE208,4,200,6,Second,13,4,1,1,0,0,0,0
41,MEE208,4,200,6,Second,14,4,1,1,0,0,0,0
42,MEE204,4,200,6,Second,15,4,1,1,0,0,0,0
42,MEE204,4,200,6,Second,16,4,1,1,0,0,0,0
35,EEE204,4,200,5,Second,17,4,1,1,0,0,0,0
35,EEE204,4,200,5,Second,18,4,1,1,0,0,0,0
13,EEE102,10,100,2,Second,1,5,1,1,0,0,0,0
13,EEE102,10,100,2,Second,2,5,1,1,0,0,0,0
8,CSC108,10,100,1,Second,3,5,1,1,0,0,0,0
8,CSC108,10,100,1,Second,4,5,1,1,0,0,0,0
11,EEE105,10,100,2,First,1,5,1,1,0,0,0,0
11,EEE105,10,100,2,First,2,5,1,1,0,0,0,0
10,EEE103,10,100,2,First,3,5,1,1,0,0,0,0
10,EEE103,10,100,2,First,4,5,1,1,0,0,0,0
9,EEE101,10,100,2,First,5,5,1,1,0,0,0,0
9,EEE101,10,100,2,First,6,5,1,1,0,0,0,0
3,CSC105,10,100,1,First,7,5,1,1,0,0,0,0
3,CSC105,10,100,1,First,8,5,1,1,0,0,0,0
7,CSC106,10,100,1,Second,5,5,1,1,0,0,0,0
7,CSC106,10,100,1,Second,6,5,1,1,0,0,0,0
6,CSC104,10,100,1,Second,7,5,1,1,0,0,0,0
6,CSC104,10,100,1,Second,8,5,1,1,0,0,0,0
5,CSC102,10,100,1,Second,9,5,1,1,0,0,0,0
5,CSC102,10,100,1,Second,10,5,1,1,0,0,0,0
4,CSC107,10,100,1,First,9,5,1,1,0,0,0,0
4,CSC107,10,100,1,First,10,5,1,1,0,0,0,0
12,EEE107,10,100,2,First,11,5,1,1,0,0,0,0
12,EEE107,10,100,2,First,12,5,1,1,0,0,0,0
2,CSC103,10,100,1,First,13,5,1,1,0,0,0,0
2,CSC103,10,100,1,First,14,5,1,1,0,0,0,0
14,EEE104,10,100,2,Second,11,5,1,1,0,0,0,0
14,EEE104,10,100,2,Second,12,5,1,1,0,0,0,0
15,EEE106,10,100,2,Second,13,5,1,1,0,0,0,0
15,EEE106,10,100,2,Second,14,5,1,1,0,0,0,0
16,EEE108,10,100,2,Second,15,5,1,1,0,0,0,0
16,EEE108,10,100,2,Second,16,5,1,1,0,0,0,0
17,MEE101,10,100,3,First,15,5,1,1,0,0,0,0
17,MEE101,10,100,3,First,16,5,1,1,0,0,0,0
18,MEE103,10,100,3,First,17,5,1,1,0,0,0,0
18,MEE103,10,100,3,First,18,5,1,1,0,0,0,0
19,MEE105,4,100,3,First,19,4,1,1,0,0,0,0
19,MEE105,4,100,3,First,20,4,1,1,0,0,0,0
20,MEE107,4,100,3,First,21,2,1,1,0,0,0,0
20,MEE107,4,100,3,First,22,2,1,1,0,0,0,0
21,MEE102,10,100,3,Second,17,5,1,1,0,0,0,0
21,MEE102,10,100,3,Second,18,5,1,1,0,0,0,0
22,MEE104,4,100,3,Second,19,4,1,1,0,0,0,0
22,MEE104,4,100,3,Second,20,4,1,1,0,0,0,0
23,MEE108,4,100,3,Second,21,2,1,1,0,0,0,0
23,MEE108,4,100,3,Second,22,2,1,1,0,0,0,0
24,MEE112,4,100,3,Second,23,2,1,1,0,0,0,0
24,MEE112,4,100,3,Second,24,2,1,1,0,0,0,0
1,CSC101,4,100,1,First,23,2,1,1,0,0,0,0
1,CSC101,4,100,1,First,24,2,1,1,0,0,0,0
